iter	Logloss
0	0.3962626586
1	0.2902129217
2	0.2507435768
3	0.2313391618
4	0.2199561456
5	0.214008664
6	0.2093587926
7	0.2055823282
8	0.1988746269
9	0.1933988234
10	0.1883635351
11	0.1831559523
12	0.1813466683
13	0.1795846749
14	0.178909804
15	0.1781906922
16	0.1771551862
17	0.1765520737
18	0.1756952408
19	0.1752275005
20	0.1744521197
21	0.1726084533
22	0.1721228707
23	0.1697764621
24	0.1692508844
25	0.168537613
26	0.1681680095
27	0.1676862711
28	0.1673256733
29	0.1670928682
30	0.1666736487
31	0.1662202849
32	0.1655880585
33	0.1653636735
34	0.1650221772
35	0.1643049519
36	0.1640068323
37	0.1630773109
38	0.1626990078
39	0.1625212811
40	0.1621969538
41	0.1617340517
42	0.1615331579
43	0.1609135641
44	0.1606217244
45	0.1601594584
46	0.1598826272
47	0.1591603425
48	0.1587601133
49	0.158071959
50	0.1577143652
51	0.15752844
52	0.1571992944
53	0.1567893877
54	0.1565507584
55	0.1558746496
56	0.1554006384
57	0.1549864843
58	0.154459468
59	0.1540841518
60	0.1537645226
61	0.1534878006
62	0.1531207645
63	0.1528892051
64	0.1525718999
65	0.1521401368
66	0.151937002
67	0.1514280581
68	0.1512131422
69	0.1509587851
70	0.1505069809
71	0.1500026626
72	0.1497683203
73	0.1495191129
74	0.1492475776
75	0.1489466162
76	0.1486696797
77	0.1484762587
78	0.1482785101
79	0.1480191808
80	0.1477932381
81	0.1475939451
82	0.1473873414
83	0.1472068558
84	0.1469488907
85	0.1467434651
86	0.1464606907
87	0.1460984704
88	0.1458608822
89	0.1457281716
90	0.1455835716
91	0.1454008429
92	0.145101286
93	0.1448889885
94	0.1446801108
95	0.1444299565
96	0.1442283415
97	0.1440591872
98	0.1438822538
99	0.1437440997
100	0.1435901694
101	0.1433266022
102	0.1431723419
103	0.1428896779
104	0.1425656055
105	0.1423249889
106	0.1420711426
107	0.1419005687
108	0.1416389279
109	0.1414166846
110	0.1412385751
111	0.1410685654
112	0.1408522073
113	0.140686507
114	0.1403774529
115	0.1401849923
116	0.1399266478
117	0.1398304317
118	0.1395675613
119	0.1393750783
120	0.1391301959
121	0.1388243643
122	0.1386569189
123	0.1384853757
124	0.1383147357
125	0.1380586452
126	0.137879144
127	0.1376317083
128	0.1374059428
129	0.1372273779
130	0.1370191871
131	0.1368744746
132	0.1367651163
133	0.1364550394
134	0.1363017829
135	0.1361521616
136	0.1359808003
137	0.1358039566
138	0.1355865479
139	0.1354321488
140	0.1352228508
141	0.1349889949
142	0.1347136892
143	0.1345846623
144	0.1343802862
145	0.1342614483
146	0.1340851799
147	0.1338440753
148	0.1336760075
149	0.1334968154
150	0.1333326315
