iter	Passed	Remaining
0	225	33825
1	435	32445
2	636	31399
3	813	29912
4	1032	30144
5	1273	30784
6	1658	34113
7	1842	32940
8	2054	32418
9	2258	31843
10	2445	31120
11	2610	30242
12	2810	29833
13	3037	29719
14	3212	29125
15	3420	28859
16	3601	28384
17	3806	28125
18	4019	27924
19	4227	27691
20	4476	27713
21	4688	27490
22	4885	27189
23	5061	26785
24	5269	26555
25	5461	26256
26	5645	25926
27	5821	25572
28	6016	25312
29	6202	25016
30	6398	24769
31	6612	24590
32	6792	24289
33	6970	23986
34	7172	23770
35	7395	23625
36	7570	23324
37	7808	23219
38	8018	23026
39	8242	22874
40	8469	22723
41	8689	22551
42	8862	22259
43	9018	21930
44	9201	21673
45	9410	21480
46	9587	21215
47	9817	21067
48	10026	20871
49	10205	20614
50	10395	20382
51	10563	20111
52	10747	19872
53	10934	19641
54	11100	19375
55	11301	19171
56	11472	18920
57	11650	18681
58	11856	18487
59	12028	18243
60	12203	18005
61	12370	17757
62	12545	17523
63	12694	17255
64	12878	17039
65	13098	16868
66	13285	16656
67	13473	16445
68	13655	16227
69	13824	15996
70	14036	15815
71	14440	15844
72	14619	15620
73	14780	15379
74	14935	15134
75	15119	14920
76	15293	14697
77	15449	14459
78	15630	14245
79	15823	14043
80	16033	13855
81	16205	13636
82	16402	13438
83	16560	13208
84	16737	12996
85	16914	12784
86	17092	12573
87	17331	12407
88	17603	12263
89	17859	12104
90	18014	11877
91	18188	11664
92	18375	11459
93	18543	11244
94	18707	11027
95	18891	10823
96	19045	10602
97	19225	10397
98	19385	10182
99	19557	9974
100	19785	9795
101	19949	9583
102	20119	9375
103	20446	9240
104	20667	9054
105	20868	8859
106	21049	8655
107	21236	8455
108	21447	8264
109	21621	8059
110	21794	7854
111	21951	7643
112	22110	7435
113	22276	7229
114	22461	7031
115	22650	6834
116	22826	6633
117	22972	6424
118	23172	6231
119	23348	6031
120	23516	5830
121	23721	5638
122	23893	5439
123	24067	5240
124	24256	5045
125	24445	4850
126	24612	4651
127	24799	4456
128	24962	4257
129	25143	4061
130	25325	3866
131	25496	3669
132	25657	3472
133	25879	3283
134	26033	3085
135	26186	2888
136	26360	2693
137	26676	2512
138	26944	2326
139	27203	2137
140	27498	1950
141	27784	1761
142	28094	1571
143	28352	1378
144	28669	1186
145	28980	992
146	29359	798
147	29836	604
148	30176	405
149	30596	203
150	30979	0
