iter	Passed	Remaining
0	258	38821
1	462	34429
2	663	32743
3	862	31694
4	1046	30559
5	1258	30420
6	1441	29651
7	1621	28980
8	1798	28382
9	1986	28003
10	2192	27905
11	2402	27825
12	2595	27551
13	2795	27357
14	2993	27137
15	3188	26902
16	3362	26500
17	3536	26131
18	3737	25964
19	3909	25608
20	4087	25306
21	4257	24964
22	4431	24661
23	4644	24576
24	4826	24327
25	5027	24168
26	5191	23840
27	5370	23590
28	5555	23370
29	5737	23139
30	5923	22931
31	6119	22755
32	6325	22618
33	6520	22436
34	6734	22318
35	6934	22152
36	7111	21910
37	7294	21690
38	7485	21495
39	7658	21251
40	7827	21001
41	8048	20888
42	8237	20688
43	8404	20439
44	8600	20259
45	8797	20081
46	8964	19835
47	9158	19652
48	9326	19413
49	9505	19201
50	9691	19003
51	9863	18778
52	10044	18573
53	10236	18387
54	10425	18197
55	10619	18015
56	10810	17827
57	10988	17619
58	11181	17435
59	11377	17255
60	11563	17061
61	11744	16858
62	11928	16661
63	12096	16444
64	12269	16233
65	12461	16048
66	12651	15861
67	12822	15651
68	12994	15443
69	13179	15250
70	13384	15081
71	13572	14891
72	13781	14725
73	13979	14546
74	14162	14350
75	14345	14157
76	14547	13980
77	14732	13788
78	14896	13576
79	15077	13381
80	15273	13199
81	15481	13027
82	15662	12832
83	15831	12627
84	16001	12424
85	16205	12248
86	16395	12061
87	16601	11884
88	16775	11686
89	16964	11498
90	17129	11293
91	17320	11107
92	17520	10926
93	17817	10804
94	18167	10709
95	18343	10509
96	18489	10292
97	18644	10083
98	18793	9871
99	18951	9665
100	19126	9468
101	19286	9265
102	19436	9057
103	19602	8859
104	19753	8654
105	19919	8456
106	20086	8259
107	20241	8058
108	20429	7871
109	20607	7681
110	20817	7501
111	20967	7301
112	21132	7106
113	21294	6911
114	21467	6720
115	21608	6519
116	21760	6323
117	21922	6130
118	22071	5935
119	22225	5741
120	22378	5548
121	22519	5352
122	22675	5161
123	22844	4974
124	23000	4784
125	23174	4598
126	23323	4407
127	23468	4217
128	23615	4027
129	23780	3841
130	23945	3655
131	24086	3467
132	24220	3277
133	24362	3090
134	24514	2905
135	24681	2722
136	24835	2537
137	25000	2355
138	25153	2171
139	25306	1988
140	25472	1806
141	25625	1624
142	25769	1441
143	25921	1260
144	26071	1078
145	26237	898
146	26366	717
147	26520	537
148	26695	358
149	26871	179
150	27017	0
